t,ke_weno5,ke_test,ke_reward,disper_weno5,disper_test,disper_imp
0.002,132735.53647803323,132801.35395907506,0.0004958542586877002,-19.604891779264577,-23.911625408237935,0.2196764806183955
0.004,139086.6545377214,139171.68247062637,0.0006113306354775805,-15.365615418098784,-20.826199537560957,0.35537685741049363
0.006,145578.466899896,145677.8605146545,0.0006827494263064171,-11.366823211525144,-14.069633884511502,0.23778065539419146
0.008,152070.7405837194,152085.36420792658,9.616329973183291e-05,-10.597053621679816,-17.133389373998444,0.6168068961117992
0.01,158588.92703003832,158622.43566650795,0.00021129240923167814,-10.095960558862597,-16.487964479170962,0.633124890201481
0.012,165125.69601041664,165178.67045993838,0.00032081287650354007,-11.447922940148409,-16.413802049692062,0.4337799210831581
0.014,171690.34693241632,171769.46711982042,0.00046083072704861117,-10.583596403036044,-17.031858253532647,0.6092694397007463
0.016,178284.28152437406,178387.8711548256,0.0005810362504525823,-10.559187222331754,-16.291863401904845,0.5429088488410343
0.018,184908.11738686764,185011.74649703156,0.0005604356997865878,-10.819188387924997,-17.344504739885032,0.603124385858995
0.02,191563.47667318015,191758.10509634414,0.0010159996390963766,-11.586648921386196,-18.37889295628539,0.5862129836662548
0.022,198251.96243580704,198403.4831501911,0.0007642835537284842,-11.292485851739535,-17.109583461610555,0.5151299444820587
0.024,204956.8821113571,205127.98200987332,0.0008348092376975202,-10.675264697454498,-17.51410426414977,0.6406248238815082
0.026,211764.190458379,211873.7332714664,0.0005172867652945001,-11.045721570584718,-19.000840761460022,0.720199141363491
0.028,218459.49091299015,218719.29228449578,0.0011892427764061964,-11.744897053243221,-19.350746503591253,0.6475875791731833
0.03,225323.88823343848,225517.10658412077,0.0008575138312991726,-11.737537351758903,-19.316531381462255,0.6457056367592833
0.032,232144.29488679,232344.55784676934,0.0008626658694197431,-11.678825085780032,-19.388873987443773,0.6601733346491665
0.034,239008.01444731254,239307.90735107838,0.0012547399486135813,-12.15202684506011,-20.894056945651815,0.7193886429032541
0.036,245939.24624077894,246232.07812110946,0.0011906675522777022,-11.587262872830781,-20.19600268518096,0.7429485208742015
0.038,252869.54221114668,253131.30446302518,0.0010351671837960374,-12.61309807312685,-22.430147201626042,0.7783217946600409
0.04,259825.49498275146,260142.7962418759,0.0012212091009218273,-12.822233118088624,-22.422027689445862,0.748683515807756
0.042,266905.6218005911,267151.78708762315,0.0009222933761054986,-12.577291148136299,-21.56200208580117,0.7143597800068597
0.044,273917.84398689086,274154.8860207311,0.0008653763858172958,-12.03391121502893,-21.66416372447566,0.8002595612820946
0.046,280957.33886183077,281180.9130152225,0.0007957583677915547,-12.822110980431322,-23.08894760335678,0.8007134424740481
0.048,288127.34413954825,288342.5806541253,0.0007470187018168151,-13.374040759199174,-22.385291179354212,0.6737866724353114
0.05,295269.84868651896,295443.69900630077,0.0005887845323697682,-13.828557674889598,-24.424806536375737,0.7662584277120379
