,t,ke_weno5,ke_test,ke_reward,disper_weno5,disper_test,disper_imp
0,0.01,112.60123922201831,113.60164384967338,0.008884490388978428,8.992522249895525e-06,2.542239991073338e-05,1.8270599954343996
1,0.02,219.3469572675629,222.11576266996025,0.01262294876067016,1.0835102873316398e-05,2.675022794085217e-05,1.4688485428901594
2,0.03,315.8547552595491,317.3758555368739,0.0048158219941152325,1.1565881010384179e-05,2.5303565662609663e-05,1.1877767581986531
3,0.04,400.35442768526866,401.6282788206012,0.003181808535745567,9.381112752111842e-06,2.0577482254880493e-05,1.1935012187384877
4,0.05,472.88797104950993,474.77203206418153,0.003984159314710745,1.0638290192171329e-05,2.371282184790162e-05,1.2290068629028168
5,0.06,505.8930558366351,507.8509748998696,0.003870223243125137,6.38326234760652e-06,1.1129932935688441e-05,0.7436120168023082
6,0.07,503.29512745772263,505.0227969246035,0.0034327164572558466,9.448609347295349e-06,1.5283603446821727e-05,0.6175505712061888
7,0.08,500.58281920579316,502.47781272728855,0.0037855744320229867,9.543011447340927e-06,1.4692730113143145e-05,0.5396324518962137
8,0.09,493.63622022148866,495.7780622741293,0.0043389078128821534,1.2467769746583588e-05,1.6286795247382644e-05,0.3063118407240031
9,0.1,478.86385278899803,481.1232244926373,0.0047181922178511915,1.1761733831251849e-05,1.690036356746781e-05,0.43689389761246056
10,0.11,465.0630709346024,467.3544434732869,0.004927014596277646,1.0879540498298879e-05,1.5365456019040742e-05,0.4123258258419351
11,0.12,451.8298142632261,454.0028668602836,0.004809449329059801,9.639851536592472e-06,1.3162210047821583e-05,0.3653955144286596
12,0.13,440.03881022488844,442.1842799060812,0.004875637401383415,1.0002051573243418e-05,1.3601543978892175e-05,0.3598754094887686
13,0.14,429.221720533896,431.3617051555806,0.0049857323600088765,1.05036658617399e-05,1.3905852906222519e-05,0.32390472900278033
14,0.15,418.2637697652638,420.3722517560542,0.005041034254469778,1.1730837873259577e-05,1.6788681695052077e-05,0.43115793402292657
15,0.16,406.38092406718937,408.46067522178873,0.005117738140325567,1.069884267562864e-05,1.5407098226025248e-05,0.4400714818549252
16,0.17,392.433031562828,394.49461948764235,0.005253349639311233,1.0432199575277346e-05,1.498633711399997e-05,0.4365462437581433
17,0.18,375.7197920828144,377.76412854696787,0.005441119970871489,1.1521975331763285e-05,1.728902872643936e-05,0.5005264486878138
