,t,ke_weno5,ke_test,ke_reward,disper_weno5,disper_test,disper_imp
0,0.01,1986.5012656492968,1986.4484706580943,-2.657687267326736e-05,0.00022386772899205118,0.0002825679070907137,0.26220919988314506
1,0.02,1983.4651153423633,1983.433793973076,-1.5791237791384916e-05,0.00018556227390317248,0.0003531480561002121,0.9031242109292479
2,0.03,1980.5213319479979,1980.6741332767176,7.715207418113046e-05,0.00015605482266021608,0.0003678721874711735,1.3573266189418267
3,0.04,1977.740833833706,1978.1471488146644,0.00020544399650734846,0.00013851109619762714,0.00036551361556250487,1.6388760582833837
4,0.05,1975.0618892804114,1975.7203250910013,0.00033337477380501745,0.00012766668089920236,0.0003297053922595581,1.5825484765275042
5,0.06,1972.4392611708809,1973.321833575814,0.00044745225990339144,0.00011169460529917732,0.0003288351327353907,1.9440556404187652
6,0.07,1969.922090958878,1971.0118003900852,0.0005531738723112412,9.679757393642015e-05,0.00031404488849414564,2.2443466888996695
7,0.08,1967.490969100931,1968.7591850618821,0.0006445854038814591,8.547631478397782e-05,0.00030697719836531327,2.5913714710458584
8,0.09,1965.154037388943,1966.618000567037,0.0007449610311662802,8.217088436944056e-05,0.00030566905743139856,2.719919285000141
9,0.1,1962.947563494151,1964.6086420208753,0.0008462164540796735,7.820563218559924e-05,0.0003379238020202485,3.320965032521963
10,0.11,1960.80154627288,1962.6519485396625,0.0009436968622855701,7.759161225807812e-05,0.00038343777694495004,3.94174261606518
11,0.12,1958.6825681316316,1960.7884814165043,0.0010751682376393124,7.654292864437671e-05,0.0004038194907726671,4.2757256342886745
12,0.13,1956.6131822750242,1958.9880367312605,0.0012137577717201697,7.649070319900295e-05,0.0003703409265511962,3.841646253240662
13,0.14,1954.5710273297884,1957.1792443621932,0.0013344191620234813,7.83847791984505e-05,0.0004240613880307312,4.409996588203874
14,0.15,1952.6026907381076,1955.4387131443502,0.0014524318847326523,9.02580662167664e-05,0.00039365016448970956,3.361384871068563
15,0.16,1950.7357750483761,1953.8082225876615,0.0015750198353794431,0.00010892941475088494,0.000495033444080521,3.5445341390352
16,0.17,1948.8943120121367,1952.243184315006,0.0017183447466742052,0.00012884806860260584,0.0005739424293784025,3.454412360254774
17,0.18,1947.0558088874143,1950.6744080339154,0.0018584979074476315,0.00015862569028619536,0.0006120556911011191,2.8584903239622603
18,0.19,1945.2318192803937,1949.1228873888783,0.0020003107444150903,0.00018722013294971383,0.0006255703897830723,2.341362811397515
19,0.2,1943.4045979189202,1947.5646681997753,0.0021406094671740927,0.00021765375375265157,0.0006808698930285601,2.1282249044154855
20,0.21,1941.6344934974932,1946.0818078810332,0.0022905002967521515,0.00024137901805895842,0.0007535011445699877,2.121651378936093
21,0.22,1939.946980252534,1944.714092467109,0.002457341495979648,0.00027458774871755553,0.0008399440405285241,2.0589275903656623
22,0.23,1938.2837135825716,1943.3625551288294,0.0026202776769301828,0.00029938877318278726,0.0008882713948228345,1.9669495799046341
23,0.24,1936.6022261782146,1941.9867211786889,0.002780382531677894,0.00032217057037094675,0.0008771760740601967,1.7227070214706992
24,0.25,1934.9015665356749,1940.602384851762,0.002946309215250853,0.00034785997682494494,0.0009234568440790142,1.6546797723261197
25,0.26,1933.1859102014462,1939.2149296445834,0.003118696143667332,0.0003657688136162724,0.0009371726018597653,1.5621993099798606
26,0.27,1931.498470976709,1937.8743329397028,0.0033009924982077,0.0003776431429984672,0.0011235593235592075,1.975187937051376
27,0.28,1929.8752878783525,1936.6012635960165,0.0034851867164216177,0.0003878349007858466,0.00111032636484987,1.862884084439235
28,0.29,1928.2493424775532,1935.348215216773,0.003681511816360228,0.0003905069121740715,0.0011768921876793782,2.0137550731874607
29,0.3,1926.557259290581,1934.0250910964478,0.0038762573859947302,0.0003956098073606043,0.0011947469484119718,2.0200134733336927
30,0.31,1924.7947871271765,1932.611776847824,0.00406120682211264,0.0003924286144971851,0.001318429937017932,2.35966820031007
31,0.32,1922.9550213100513,1931.1053703838015,0.004238450189124832,0.0003774733792641812,0.0012716466697331682,2.368838015046313
32,0.33,1921.083994060248,1929.621012956628,0.004443855095755955,0.0003405631300488729,0.0013463742602625194,2.953376456427643
33,0.34,1919.2383417685298,1928.2517477858505,0.004696345326768991,0.00031433048752785536,0.0013012996299873734,3.1399090499360316
34,0.35,1917.3461895379864,1926.8518213056122,0.004957702380244733,0.0002991902205864851,0.0013587465873179678,3.541413768987824
35,0.36,1915.3428986798074,1925.3835164181924,0.005242203756468777,0.00029045088326480617,0.0014776400123972058,4.087400650284925
36,0.37,1913.2478361584017,1923.8162304444877,0.0055237978511484265,0.00030351814506472024,0.0015205148241392073,4.009634016493421
37,0.38,1911.0601149701629,1922.219121102469,0.005839170649260428,0.00032077673138037753,0.0016185282223685996,4.045653453115794
38,0.39,1908.903527190824,1920.5845477489331,0.006119230433451639,0.0003392587043724505,0.0016578808745214423,3.8867747626052376
