,t,ke_weno5,ke_test,ke_reward,disper_weno5,disper_test,disper_imp
0,0.01,658.2177331865939,670.4207558507908,0.018539492403401248,0.14468180400124037,0.14346184557917407,-0.008432010027023429
1,0.02,1565.0574850826852,1592.6389698345865,0.01762330458452399,0.12139663753909077,0.1453347861453702,0.19718955229358093
2,0.03,2460.8819025048233,2487.44282336,0.010793252950554777,0.11061047909549401,0.13585180450875387,0.22820012732670758
3,0.04,3425.1838352275536,3450.150938898369,0.007289274057068695,0.0945504903526674,0.12437833826660279,0.31547004994558336
4,0.05,4329.726548228208,4354.168973990243,0.005645258537640752,0.10305125078725817,0.13863722367995057,0.3453230564484564
5,0.06,5294.436855120961,5315.783771378872,0.004031952187183663,0.08905145971300629,0.12055158716146998,0.3537294902293777
6,0.07,6199.324897684543,6216.522365533976,0.0027740872003427786,0.09726632664731297,0.12002724183601923,0.2340061146879453
7,0.08,7164.5261266589,7180.930496142177,0.002289665665707874,0.09138514389971727,0.12512849165181322,0.36924325237288746
8,0.09,8068.402233659558,8085.868421338942,0.0021647641222595215,0.09572215580823885,0.11401237598462718,0.19107614137973772
9,0.1,9032.554281186414,9051.237364332868,0.00206841637092281,0.0963225382464751,0.11997336930562388,0.24553787192183218
10,0.11,9935.477098730269,9957.117084016456,0.002178051951722715,0.09746966628995998,0.11201648306256573,0.14924455296000305
11,0.12,10898.734994821687,10921.86103434869,0.0021219012608335586,0.10197158512758236,0.11544854383660678,0.13216386400351277
12,0.13,11801.214157960745,11827.532234328035,0.0022301159876449983,0.09949662718286083,0.11872841347595722,0.19329083645972323
13,0.14,12764.118827335242,12791.559250467395,0.0021498094387359945,0.10774711292836416,0.12486099013218299,0.15883374262841765
14,0.15,13666.676027900357,13696.362851881619,0.0021722051448835877,0.10243669629761473,0.12480537742865289,0.218365897569063
15,0.16,14629.336959338238,14659.305106235002,0.002048496591476434,0.11295190159973445,0.13222129679861716,0.17059823629324367
16,0.17,15531.56410945769,15563.066451451314,0.002028278785807691,0.1063249617730335,0.13022990892271455,0.2248291158637774
17,0.18,16493.39758540864,16524.76558377475,0.0019018518291140651,0.11813574795729331,0.14266701711504318,0.20765322590261204
18,0.19,17395.734518904566,17427.911235788906,0.0018496900403586203,0.1120161518267305,0.13543838703955383,0.20909694567131232
19,0.2,18314.655994890694,18404.49016734748,0.0049050428510286626,0.11947114855569942,0.1449028003939309,0.21286856404812093
20,0.21,19153.739523104665,19186.673329112426,0.0017194452272901728,0.11812737334143972,0.1342669480584887,0.1366285752447789
21,0.22,19786.609436239138,19809.35754409799,0.0011496718491441626,0.14398902110909917,0.15929257076938141,0.10628275365999529
22,0.23,20380.10547855187,20401.228632637536,0.001036459507429699,0.13632320340987023,0.14919718333799184,0.09443718755210462
23,0.24,20943.05835559578,20962.21490027814,0.000914696619619848,0.14855238754643255,0.16534967741095677,0.1130731733226027
24,0.25,21518.87556386576,21533.748840581025,0.0006911735081660542,0.16076485619891556,0.1775994732853754,0.10471577858801573
25,0.26,22052.65542293948,22075.651240280895,0.0010427686326379693,0.15143185440969809,0.16762817154712217,0.10695449250462885
26,0.27,22515.70646667709,22548.43904599129,0.0014537664790863492,0.17954618571020964,0.19176954193331475,0.06807917514234352
27,0.28,22898.941982752956,22961.971154217426,0.0027524927357753803,0.2033545007757931,0.20725145931447012,0.019163374913317544
28,0.29,23241.40921185081,23300.82655696873,0.002556529364304838,0.2176110669569314,0.2255444252498177,0.036456593884797384
29,0.3,23522.776179353106,23573.814043677536,0.002169721122000423,0.2309427578400587,0.23851667796269427,0.03279565981402621
30,0.31,23739.114002730432,23814.88118017937,0.0031916598673491503,0.24568264186032862,0.25306753427350526,0.03005866575374494
31,0.32,23920.191064117786,24000.419806836562,0.003354017637389406,0.26781940015357375,0.2757339992439785,0.029552000661140942
32,0.33,24057.37000252281,24153.204669505998,0.003983588687090034,0.2922584798643845,0.2966039999972469,0.014868756365525426
33,0.34,24161.251546661086,24266.74179134523,0.0043660919005135135,0.31699492798247497,0.3194583307364378,0.007771110943765702
34,0.35,24217.390086681535,24336.441297744434,0.004915938944567433,0.329521142482993,0.33132217142656195,0.0054655944987258565
35,0.36,24230.48852356687,24365.629700214933,0.005577319521091084,0.31096707636151805,0.30904100987805155,-0.0061937955168840375
36,0.37,24224.005865200976,24340.965919546492,0.004828270559227965,0.31349773377381,0.29890949605680056,-0.046533790025847344
37,0.38,24227.954858262303,24314.15204214617,0.003557757325706401,0.37344087663681436,0.36509054138228314,-0.022360528203912322
38,0.39,24216.16225407382,24315.51716138418,0.004102834556026558,0.41690071431792447,0.41957576631521043,0.006416520541737469
39,0.4,24157.17937757715,24286.035771617455,0.005334082759674619,0.3799714173325314,0.38405318705018965,0.010742307266986106
40,0.41,24082.348900389323,24199.93291328548,0.004882580739217435,0.34507299554006704,0.338916471700588,-0.01784122176771208
41,0.42,24049.244479115456,24175.84085831404,0.00526404807887082,0.4246867725229517,0.42611077638898887,0.0033530685629257206
42,0.43,23981.181714090242,24136.276403996577,0.0064673497643032984,0.4243682062834228,0.4294586528287984,0.011995353256921026
43,0.44,23878.841225270353,24031.2070020811,0.006380786042896602,0.35250811943360033,0.3532153399224888,0.002006253047518003
44,0.45,23830.02280348148,23993.935285154912,0.006878402216614177,0.4376978268521694,0.4434707229909123,0.013189227326670494
45,0.46,23755.84995577391,23951.656778787175,0.008242467576525359,0.4387278549575744,0.45400194225137774,0.034814491765699174
46,0.47,23639.399217597304,23848.267693070928,0.008835608449733412,0.3621106751691871,0.36929414921430637,0.019837785897261817
47,0.48,23586.79716790963,23819.454637735515,0.00986388563778462,0.4494814075437511,0.4637545217845112,0.0317546265567632
48,0.49,23497.623291894688,23777.30164126595,0.011902410124505325,0.4420998735781175,0.46195233066406394,0.04490491464128099
49,0.5,23375.677559876898,23665.861073722117,0.012413908136006402,0.36859059915892917,0.38088134677294627,0.033345255256272965
50,0.51,23310.11279912089,23636.97282687145,0.014022241357960707,0.45044507439832526,0.46556500753691055,0.03356665218013877
51,0.52,23206.27129909976,23570.660302708726,0.01570217804111862,0.43891185966177215,0.45608005792598594,0.03911536652813097
