,t,ke_weno5,ke_test,ke_reward,disper_weno5,disper_test,disper_imp
0,0.01,3009.2124183290525,3062.8553328293674,0.017826230602258963,0.12002759825385273,0.12993967066957918,0.08258161089554483
1,0.02,6720.030185735377,6769.025388534772,0.007290920047263727,0.08213228112424387,0.10005431690221622,0.21820939991744748
2,0.03,10459.190444605563,10507.876479980758,0.004654856954087183,0.0703275943562411,0.08471695492727327,0.2046047600909473
3,0.04,14199.129168423186,14240.337978947986,0.0029022068914228427,0.0618957850247396,0.07375911836687582,0.1916662554226345
4,0.05,17935.683492079934,17975.422764659335,0.0022156542067075513,0.058718686624062835,0.07104434216879019,0.20991027308973087
5,0.06,21669.25046058767,21714.210603796004,0.0020748361042808305,0.05766335247881198,0.06730242853899453,0.1671612149800754
6,0.07,25400.19632023586,25452.421310800954,0.002056086098968013,0.057511207600365655,0.06585619260235943,0.14510189144316832
7,0.08,29129.50647581418,29187.10460514475,0.001977312227324779,0.057801424811085654,0.06773646134806804,0.17188220825790035
8,0.09,32887.33850234765,32948.27401827295,0.0018528564091906397,0.05817020236780199,0.06798774232576861,0.16877266295021132
9,0.1,36613.06953590982,36676.46700463822,0.0017315529545052222,0.058779176411875356,0.06509621880541949,0.10747075374584325
10,0.11,40336.35208555662,40401.27604128646,0.0016095643848044183,0.05950773768561446,0.06805025452277089,0.1435530431737706
11,0.12,44057.15410212846,44122.69632755016,0.0014876636214353756,0.06030991103019572,0.0689482003497226,0.14323167074814447
12,0.13,47775.78340955336,47841.151231767406,0.0013682208338414714,0.061202695659844916,0.07057949211727395,0.15320888003926836
13,0.14,51492.53259161312,51556.97640628461,0.0012515176750500512,0.062153567922131184,0.07172548654469961,0.1540043306051322
14,0.15,55207.2677043172,55270.39871498048,0.001143527171121761,0.06317810360360303,0.07321943334369109,0.15893686526411366
15,0.16,58919.36927314867,58981.5647632994,0.0010556034614421783,0.06413865793561802,0.0735860864174766,0.14729694673907678
16,0.17,62628.65026433383,62690.47719365682,0.0009871988149519062,0.06504398729040943,0.07433204978365132,0.14279663471079052
17,0.18,66365.55378454961,66427.22429441965,0.0009292548069477213,0.0658835162583957,0.07421229570949575,0.126416741608546
18,0.19,70070.99386123501,70131.9142498219,0.0008694095121233314,0.06691811192006701,0.07488476209154028,0.11905073145203726
19,0.2,73776.623749906,73835.71471555434,0.0008009442916316889,0.06774249318209165,0.07553839481089278,0.1150814099481956
20,0.21,77307.72746410976,77389.23087173715,0.0010542724550430815,0.07749208736011817,0.08393295901683487,0.0831165074543021
21,0.22,79763.11710497011,79829.19132886082,0.0008283806637565672,0.08035560078389603,0.08412182846790156,0.0468695106161201
22,0.23,82070.01323058766,82143.0104194379,0.0008894501898657481,0.08691434176754491,0.09197226902742384,0.05819439182323349
23,0.24,84398.74098653177,84435.06770435936,0.00043041776930508036,0.08328916280362228,0.08827082385630325,0.059811635571684674
24,0.25,86667.66116183727,86741.09966675902,0.0008473576411001105,0.08717797794623391,0.09198850758749766,0.0551805599830566
25,0.26,88835.74893463042,88917.54073519543,0.0009207081782491855,0.09608208762445379,0.10117083812149058,0.05296253050752475
26,0.27,90720.04436368897,90812.70589476597,0.001021400857185828,0.1066179610309621,0.111523534218904,0.04601075785455411
27,0.28,92281.53813908494,92404.43222279125,0.0013317299016093465,0.12653126214563593,0.1295415702738857,0.023791022686432406
28,0.29,93597.45789291165,93712.0767019548,0.0012245931847238989,0.137937989945864,0.14005919547977358,0.015377964654567311
29,0.3,94703.51153128216,94832.61433806257,0.0013632314651581545,0.14991946871038492,0.15195615962675332,0.013585233018020393
30,0.31,95571.76337098681,95687.71220955887,0.0012132122970460735,0.16426145992199373,0.16584468197988728,0.009638426802278444
31,0.32,96237.58161777336,96361.13038202401,0.0012837891619237318,0.17941249448798213,0.18065340071564578,0.006916498381035474
32,0.33,96761.68759499078,96894.09428349837,0.0013683792810827988,0.19291891980407827,0.1947506661280108,0.009494902448099918
